Timestamp,messages,NT:/FMSInfo/.type,NT:/FMSInfo/IsRedAlliance,NT:/FMSInfo/MatchNumber,NT:/FMSInfo/ReplayNumber,NT:/FMSInfo/FMSControlData,NT:/FMSInfo/EventName,NT:/LiveWindow/.status/LW Enabled,NT:/FMSInfo/GameSpecificMessage,NT:/FMSInfo/StationNumber,NT:/FMSInfo/MatchType,NTConnection,/ExampleSubsystem/falcon/SET_FUNCTION_CONTROL_MODE,/ExampleSubsystem/falcon/SET_FUNCTION_VALUE,/ExampleSubsystem/falcon/SET_FUNCTION_DEMAND_TYPE,/ExampleSubsystem/falcon/SET_FUNCTION_DEMAND,/ExampleSubsystem/falcon/SET_VOLTAGE,/ExampleSubsystem/falcon/SET_SELECTED_SENSOR_POSITION,/ExampleSubsystem/falcon/SET_NEUTRAL_MODE_IS_BRAKE,/ExampleSubsystem/falcon/OUTPUT_PERCENT,/ExampleSubsystem/falcon/FAULTS,/ExampleSubsystem/falcon/FORWARD_LIMIT_SWITCH,/ExampleSubsystem/falcon/REVERSE_LIMIT_SWITCH,/ExampleSubsystem/falcon/SELECTED_SENSOR_POSITION,/ExampleSubsystem/falcon/SELECTED_SENSOR_VELOCITY,/ExampleSubsystem/falcon/STATOR_CURRENT,/ExampleSubsystem/falcon/SUPPLY_CURRENT,/ExampleSubsystem/falcon/BUS_VOLTAGE,/ExampleSubsystem/falcon/TEMPERATURE,/ExampleSubsystem/falcon/INTEGRATED_SENSOR_ABSOLUTE_POSITION,/ExampleSubsystem/falcon/HAS_RESET,systemTime,DS:enabled,DS:autonomous,DS:test,DS:estop,DS:joystick0/buttons,DS:joystick0/axes,DS:joystick0/povs,DS:joystick1/buttons,DS:joystick1/axes,DS:joystick1/povs,DS:joystick2/buttons,DS:joystick2/axes,DS:joystick2/povs,DS:joystick3/buttons,DS:joystick3/axes,DS:joystick3/povs,DS:joystick4/buttons,DS:joystick4/axes,DS:joystick4/povs,DS:joystick5/buttons,DS:joystick5/axes,DS:joystick5/povs,
0.345562,,
0.366942,,FMSInfo,,
0.502476,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,
0.528863,LoggyMotor /ExampleSubsystem/falcon/ log levels set to [SET_FUNCTION_CONTROL_MODE; SET_FUNCTION_VALUE; SET_FUNCTION_DEMAND_TYPE; SET_FUNCTION_DEMAND; SET_VOLTAGE; SET_SELECTED_SENSOR_POSITION; SET_NEUTRAL_MODE_IS_BRAKE; OUTPUT_PERCENT; FAULTS; FORWARD_LIMIT_SWITCH; REVERSE_LIMIT_SWITCH; SELECTED_SENSOR_POSITION; SELECTED_SENSOR_VELOCITY; STATOR_CURRENT; SUPPLY_CURRENT; BUS_VOLTAGE; TEMPERATURE; INTEGRATED_SENSOR_ABSOLUTE_POSITION; HAS_RESET],FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,0,
6.763394,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428003939251,0,0,
13.038346,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428010214761,0,0,
19.289012,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428016465554,0,0,
25.538257,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428022714036,0,0,
31.788324,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428028964849,0,0,
38.038343,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428035214855,0,0,
44.288295,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428041464672,0,0,
50.549491,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428047725942,0,0,
56.836052,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428054012087,0,0,
63.088729,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428060264495,0,0,
69.338804,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428066515028,0,0,
75.62204,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428072797700,0,0,
81.896627,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428079072275,0,0,
88.146762,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428085323226,0,0,
94.422242,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428091598821,0,0,
100.671748,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428097847918,0,0,
106.921707,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428104097768,0,0,
113.163493,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428110339898,0,0,
119.423292,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428116599600,0,0,
125.697641,,FMSInfo,1,0.0,0.0,32.0,,0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648428122873276,0,0,
